PUMFID,AGEGROUP,AGEGR_10,"When practicing recommended public health measures, which
source of information do you find the most helpful?","Which social media application do you use most often to discuss
topics about COVID-FacebookSina Weibo?
",BH_Filled prescriptions0A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,"How concerned are you about each of the following impacts of
COVID-Not at all9?
My own health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Member of the household’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Vulnerable people’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Canadian population’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
World population’s health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Overloading the health system","How concerned are you about each of the following impacts of
COVID-Not at all9?
Civil disorder","How concerned are you about each of the following impacts of
COVID-Not at all9?
Maintaining social ties","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another during the crisis","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another after the crisis
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Family stress from confinement","How concerned are you about each of the following impacts of
COVID-Not at all9?
Violence in the home","In the last week, how often did you do each of the following activities","In the last week, how often did you do each of the following activities?
Used a delivery service for groceries or for a drugstore
","In the last week, how often did you do each of the following activities?
Used a food delivery service for prepared food
","In the last week, how often did you do each of the following activities?
Ate at a restaurant","In the last week, how often did you do each of the following activities?
Attended a public event","In the last week, how often did you do each of the following activities?
Travelled for work",What is your gender?,"To what extent do you agree or disagree with the following
statement?
I might lose my main job or main self-employment income source in
the next four weeks.","Which of the following best describes the impact of COVID-Major impact9 on your
ability to meet financial obligations or essential needs, such as rent or
mortgage payments, utilities and groceries?
",PRURURB,PPROV,VERDATE
2332,2,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",TikTok,Stocked up on essentials at a grocery store or pharmacy,2,1,2,1,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Very,Extremely,Not at all,Not at all,Never,Never,Never,Never,Never,1 to 3 times,Male,Neither agree nor disagree,Too soon to tell,2,ON,JULY
2333,10,6,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,1,2,Not at all,Not at all,Extremely,Somewhat,Somewhat,Very,Extremely,Not at all,Extremely,Extremely,Very,Somewhat,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Female,Neither agree nor disagree,Too soon to tell,2,SK,JULY
2334,2,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Filled prescriptions,1,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Very,Somewhat,Not at all,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Disagree,Moderate impact,2,ON,JULY
2335,4,3,Federal daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Not at all,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Not at all,Not at all,Very,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Male,Strongly agree,Major impact,2,ON,JULY
2336,2,2,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,2,2,2,1,1,2,2,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Extremely,Very,Very,Very,Very,Extremely,1 to 3 times,Never,1 to 3 times,Never,Never,Never or 5 times,Male,Strongly disagree,9,2,AB,JULY
2337,4,3,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,2,1,1,2,Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,ON,JULY
2338,2,2,Health professionals,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,2,1,Somewhat,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,BC,JULY
2339,3,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,1 to 3 times,Daily or more,Never or 5 times,Never,Never,Never,Male,Strongly disagree,No impact,2,ON,JULY
2340,4,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,2,2,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,JULY
2341,2,2,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Minor impact,2,BC,JULY
2342,4,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly disagree,Minor impact,2,NB,JULY
2343,7,4,Federal daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Too soon to tell,2,ON,JULY
2344,2,2,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,2,1,1,1,1,2,1,2,Somewhat,Very,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,1 to 3 times,Never,Never,1 to 3 times,Never,Never,Female,Agree,Minor impact,2,ON,JULY
2345,2,2,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,ON,JULY
2346,1,1,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,1,1,2,Not at all,Somewhat,Very,Very,Not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,JULY
2347,1,1,"News outlets including local, national and international sources",TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Male,Strongly agree,Moderate impact,2,BC,JULY
2348,7,4,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Male,Disagree,Minor impact,2,ON,JULY
2349,4,3,"Federal health agency Help text: e.g., website, public service announcements",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Agree,Major impact,2,QC,JULY
2350,4,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Never,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,No impact,2,ON,JULY
2351,7,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly agree,Too soon to tell,2,ON,JULY
2352,4,3,Federal daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,2,1,2,1,1,1,1,1,1,2,1,2,Somewhat,Very,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,9,NU,JULY
2353,10,6,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,1,2,1,2,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,No impact,2,AB,JULY
2354,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Snapchat,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never or 5 times,Male,Disagree,Too soon to tell,2,AB,JULY
2355,2,2,"Municipal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Moderate impact,2,ON,JULY
2356,8,5,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,1,2,1,Very,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly agree,Major impact,1,NS,JULY
2357,1,1,"News outlets including local, national and international sources0",Twitter,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,2,1,1,1,Somewhat,Very,Very,Somewhat,Very,Very,Not at all,Not at all,Very,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,2,ON,JULY
2358,3,2,Provincial daily announcements by public health and political leaders,TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Moderate impact,2,BC,JULY
2359,10,6,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,1,2,2,2,2,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Extremely,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Not working at a job or business,No impact,2,ON,JULY
2360,4,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Very,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Not working at a job or business,No impact,2,AB,JULY
2361,6,4,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,1,2,1,Very,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Minor impact,2,ON,JULY
2362,4,3,Provincial daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never or 5 times,Never,Never,Never,Female,Disagree,Minor impact,2,AB,JULY
2363,2,2,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Very,Very,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Disagree,Minor impact,2,BC,JULY
2364,8,5,Provincial daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Very,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,ON,JULY
2365,5,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,2,1,2,Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,BC,JULY
2366,5,3,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Very,Extremely,Very,Very,Somewhat,Very,Very,Very,Very,Very,Very,Somewhat,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,Major impact,2,ON,JULY
2367,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,1,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Extremely,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Disagree,Minor impact,2,ON,JULY
2368,8,5,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,1,1,2,Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Never,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,ON,JULY
2369,5,3,Health professionals,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,2,2,2,Extremely,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Neither agree nor disagree,No impact,2,ON,JULY
2370,6,4,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,1,1,1,Somewhat,Not at all,Very,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Not at all,Somewhat,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,No impact,2,QC,JULY
2371,3,2,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Filled prescriptions,2,2,2,2,1,1,1,2,2,2,2,2,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,9,Not at all,Somewhat,Not at all,Daily or more,1 to 3 times,Never,Never,Never,Daily or more,Female,Strongly disagree,No impact,2,AB,JULY
2372,6,4,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,2,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Somewhat,Not at all,Very,Extremely,Somewhat,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly disagree,No impact,9,NU,JULY
2373,10,6,"Provincial health agency Help text: e.g., website, public service announcements",Snapchat,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,1,1,1,1,2,Very,Very,Very,Somewhat,Somewhat,Very,Not at all,Very,Very,Not at all,Not at all,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Male,Strongly disagree,No impact,2,AB,JULY
2374,6,4,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Too soon to tell,2,BC,JULY
2375,5,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,2,2,2,2,Extremely,Extremely,Extremely,Very,Very,Very,Very,Not at all,Very,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,ON,JULY
2376,2,2,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Disagree,Moderate impact,2,BC,JULY
2377,7,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Extremely,Somewhat,Very,Extremely,Extremely,Not at all,Somewhat,Very,Somewhat,Very,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly disagree,Too soon to tell,2,ON,JULY
2378,3,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,2,2,2,2,Somewhat,Extremely,Extremely,Very,Somewhat,Very,Very,Somewhat,Very,Very,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Moderate impact,2,ON,JULY
2379,4,3,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,QC,JULY
2380,7,4,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Facebook,Filled prescriptions,1,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,QC,JULY
2381,7,4,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Not at all,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Daily or more,Daily or more,Never,Never,Never,Never,Male,Agree,Minor impact,2,QC,JULY
2382,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,2,1,2,Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,Minor impact,2,AB,JULY
2383,5,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Not at all,Very,Very,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,2,ON,JULY
2384,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,1,2,2,1,1,1,1,2,2,2,1,2,Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Disagree,Minor impact,1,ON,JULY
2385,5,3,"Municipal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,1,2,2,1,1,1,1,1,2,2,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Disagree,Minor impact,2,ON,JULY
2386,10,6,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,2,1,1,2,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,ON,JULY
2387,4,3,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,Never,Never,Never,Never,Never,Daily or more,Male,Agree,Too soon to tell,2,ON,JULY
2388,5,3,Provincial daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Very,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Male,Agree,Too soon to tell,2,NL,JULY
2389,7,4,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,2,2,Not at all,Not at all,Somewhat,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Not at all,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Agree,Minor impact,2,BC,JULY
2390,5,3,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Not at all,Very,Extremely,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Never,1 to 3 times,Never,Never,Never,Never,Female,Strongly disagree,Too soon to tell,2,ON,JULY
2391,7,4,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,QC,JULY
2392,10,6,"News outlets including local, national and international sources",Facebook,Filled prescriptions,1,2,2,2,1,1,1,1,2,1,2,2,Somewhat,Very,Very,Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Not working at a job or business,Too soon to tell,2,NB,JULY
2393,5,3,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,2,1,1,2,2,2,Not at all,Not at all,Very,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,1 to 3 times,Never,1 to 3 times,1 to 3 times,Never,Never,Female,Strongly disagree,No impact,2,QC,JULY
2394,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Very,Very,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Female,Neither agree nor disagree,Moderate impact,2,SK,JULY
2395,5,3,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,2,1,1,1,1,2,2,2,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly agree,Major impact,2,BC,OCT
2396,8,5,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,1 to 3 times,9,9,9,9,9,Male,Disagree,No impact,2,ON,OCT
2397,4,3,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Disagree,No impact,2,ON,OCT
2398,8,5,Provincial daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,1,2,2,Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,Moderate impact,2,ON,OCT
2399,4,3,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Not at all,Not at all,Very,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Not at all,Very,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Minor impact,1,BC,OCT
2400,8,5,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,2,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Daily or more,9,9,9,9,9,Female,Strongly agree,Major impact,2,ON,OCT
2401,7,4,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,1,2,Very,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Minor impact,1,BC,OCT
2402,3,2,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,OCT
2403,7,4,"Municipal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,2,2,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never or 5 times,Female,Strongly agree,Moderate impact,1,ON,OCT
