"Own
",Household,Vulnerable,CanadaPopHealth,WorldPopHealth,Overload,CivilDisorder,MaintainingSocials,CooperationDuring,"CooperationAfter
","
FamilyStress","
ViolenceHome",Gender,JobLos,Finance,Province,VERDATE
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Female,Not working at a job or business,No impact,Ontario,MAY
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Male,Neither agree nor disagree,Moderate impact,Quebec,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Agree,Moderate impact,Ontario,MAY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Agree,Major impact,British Columbia,MAY
Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Very,Not at all,Male,Disagree,No impact,British Columbia,MAY
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,Ontario,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,Nova Scotia,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Disagree,Minor impact,Ontario,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Very,Extremely,Extremely,Not at all,Female,Not working at a job or business,No impact,New Brunswick,MAY
Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,Moderate impact,Alberta,MAY
Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Male,Neither agree nor disagree,Moderate impact,New Brunswick,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Very,Extremely,Not at all,Female,Strongly disagree,No impact,Quebec,MAY
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Extremely,Very,Very,Somewhat,Not at all,Female,Agree,Major impact,British Columbia,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Male,Agree,Too soon to tell,Manitoba,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Male,Disagree,No impact,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Female,Strongly agree,Major impact,Ontario,MAY
Very,Very,Extremely,Very,Somewhat,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Female,Disagree,Minor impact,Quebec,AUG
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Extremely,Not at all,Female,Neither agree nor disagree,Minor impact,Ontario,AUG
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Very,Not at all,Male,Strongly disagree,No impact,Quebec,AUG
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,Ontario,AUG
Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Female,Neither agree nor disagree,Major impact,Ontario,AUG
Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Nova Scotia,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Agree,Major impact,Alberta,AUG
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,Alberta,AUG
Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,Quebec,AUG
Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Disagree,No impact,Newfoundland and Labrador,AUG
Not at all,Not at all,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly agree,Major impact,British Columbia,AUG
Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Saskatchewan,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Neither agree nor disagree,Minor impact,British Columbia,AUG
Not at all,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Not working at a job or business,Too soon to tell,British Columbia,AUG
Not at all,Not at all,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Agree,Major impact,British Columbia,AUG
Somewhat,Very,Extremely,Somewhat,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Female,Disagree,No impact,Quebec,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Somewhat,Female,Strongly disagree,Minor impact,Ontario,AUG
Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,Too soon to tell,Alberta,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Male,Strongly disagree,No impact,Ontario,AUG
Not at all,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Not at all,Male,Disagree,Minor impact,Ontario,AUG
Very,Very,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Agree,Minor impact,British Columbia,AUG
Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Very,Very,Extremely,Somewhat,Female,Not working at a job or business,Minor impact,Ontario,AUG
Not at all,Not at all,Somewhat,Not at all,Not at all,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Strongly agree,Minor impact,Manitoba,AUG
Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Not at all,Female,Disagree,Moderate impact,British Columbia,AUG
Very,Very,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Not working at a job or business,No impact,Ontario,AUG
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Disagree,No impact,Quebec,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Moderate impact,Ontario,AUG
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,Ontario,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Not at all,Somewhat,Very,Very,Very,Not at all,Female,Disagree,Minor impact,British Columbia,AUG
Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Somewhat,Very,Very,Very,Not at all,Female,Strongly agree,No impact,Ontario,AUG
Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,British Columbia,AUG
Not at all,Not at all,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Agree,Major impact,Ontario,AUG
Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Not at all,Very,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Very,Not at all,Female,Disagree,Too soon to tell,Alberta,AUG
Somewhat,Somewhat,Very,Very,Extremely,Very,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,Ontario,AUG
Not at all,Not at all,Very,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Not at all,Female,Strongly agree,Major impact,British Columbia,AUG
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Very,Not at all,Male,Neither agree nor disagree,Minor impact,Manitoba,AUG
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,Minor impact,Nova Scotia,AUG
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Very,Very,Female,Neither agree nor disagree,Moderate impact,Ontario,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Very,Not at all,Female,Strongly disagree,Minor impact,Ontario,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Not at all,Male,Neither agree nor disagree,Major impact,Ontario,AUG
Very,Very,Extremely,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,AUG
Not at all,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,Ontario,AUG
Somewhat,Somewhat,Not at all,Very,Very,Extremely,Very,Very,Very,Extremely,Very,Not at all,Male,Neither agree nor disagree,Minor impact,British Columbia,AUG
Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Very,Not at all,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Major impact,Manitoba,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,No impact,Ontario,AUG
Very,Not at all,Extremely,Very,Very,Very,Somewhat,Extremely,Extremely,Very,Extremely,Not at all,Female,Not working at a job or business,Moderate impact,Ontario,AUG
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,Ontario,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,Alberta,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,Manitoba,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Strongly agree,Moderate impact,Ontario,AUG
Very,Very,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Not working at a job or business,No impact,Alberta,AUG
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,Ontario,AUG
Not at all,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Extremely,Very,Not at all,Male,Strongly disagree,No impact,Ontario,AUG
Extremely,Not at all,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,Ontario,AUG
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly disagree,Moderate impact,Nova Scotia,AUG
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Very,Not at all,Male,Strongly disagree,Minor impact,Ontario,AUG
Very,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Very,Very,Extremely,Somewhat,Female,Neither agree nor disagree,Moderate impact,Ontario,AUG
Somewhat,Not at all,Very,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Disagree,Moderate impact,Ontario,MAY
Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Not working at a job or business,No impact,British Columbia,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Very,Very,Not at all,Not at all,Male,Disagree,No impact,Alberta,MAY
Very,Very,Very,Very,Very,Extremely,Very,Extremely,Very,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,Quebec,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,British Columbia,MAY
Not at all,Not at all,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,MAY
Somewhat,Extremely,Extremely,Very,Very,Extremely,Not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,No impact,Ontario,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Ontario,MAY
Very,Very,Very,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,Nova Scotia,MAY
Somewhat,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,Ontario,MAY
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Very,Female,Strongly disagree,No impact,Quebec,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,Major impact,Ontario,MAY
Very,Very,Extremely,Very,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,MAY
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,British Columbia,MAY
Not at all,Not at all,Extremely,Very,Very,Extremely,Not at all,Very,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,MAY
Very,Very,Very,Very,Somewhat,Extremely,Very,Very,Very,Very,Not at all,Not at all,Male,Disagree,Minor impact,Saskatchewan,MAY
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Very,Very,Somewhat,Not at all,Male,Strongly disagree,Minor impact,Nunavut,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,British Columbia,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,Minor impact,Ontario,MAY
Somewhat,Not at all,Extremely,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,British Columbia,MAY
Somewhat,Very,Very,Very,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Male,Strongly disagree,Major impact,Ontario,MAY
Somewhat,Very,Very,Very,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,Minor impact,Quebec,MAY
Somewhat,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,Ontario,MAY
Not at all,Very,Very,Very,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Female,Strongly agree,Moderate impact,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,Alberta,MAY
Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Very,Female,Strongly disagree,Too soon to tell,Ontario,AUG
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,Agree,Moderate impact,British Columbia,AUG
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,British Columbia,AUG
Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Somewhat,Not at all,Not at all,Very,Somewhat,Female,Not working at a job or business,Minor impact,Saskatchewan,AUG
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Strongly agree,Major impact,Ontario,AUG
Very,Very,Very,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Prince Edward Island,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,Ontario,AUG
Very,Very,Very,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Ontario,AUG
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Not at all,Male,Neither agree nor disagree,Minor impact,Nova Scotia,AUG
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Very,Not at all,Female,Agree,Moderate impact,Ontario,AUG
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Female,Disagree,Minor impact,Ontario,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Male,Not working at a job or business,Too soon to tell,Quebec,AUG
Very,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,Quebec,AUG
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,Nova Scotia,AUG
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly agree,Major impact,Ontario,AUG
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Ontario,AUG
Extremely,Extremely,Very,Extremely,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,British Columbia,AUG
Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,Ontario,AUG
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Quebec,AUG
Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Male,Neither agree nor disagree,Minor impact,Ontario,AUG
Very,Extremely,Extremely,Very,Somewhat,Extremely,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly agree,Major impact,Saskatchewan,AUG
Extremely,Very,Extremely,Extremely,Very,Very,Somewhat,Very,Not at all,Not at all,Extremely,Not at all,Female,Not working at a job or business,No impact,Newfoundland and Labrador,AUG
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,Ontario,AUG
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Very,Very,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,Manitoba,AUG
Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,Major impact,Newfoundland and Labrador,AUG
Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Not at all,Extremely,Very,Somewhat,Extremely,Not at all,Female,Agree,Moderate impact,Manitoba,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Extremely,Male,Disagree,Too soon to tell,Ontario,AUG
Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Disagree,Minor impact,Newfoundland and Labrador,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Quebec,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,Ontario,AUG
Not at all,Not at all,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,Saskatchewan,AUG
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Strongly disagree,No impact,British Columbia,AUG
Extremely,Extremely,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,Ontario,AUG
Very,Very,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,AUG
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Not at all,Not at all,Male,Strongly disagree,No impact,Ontario,AUG
Not at all,Extremely,Extremely,Somewhat,Not at all,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,Saskatchewan,AUG
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Disagree,Too soon to tell,British Columbia,AUG
Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Female,Not working at a job or business,No impact,Ontario,AUG
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,AUG
Extremely,Extremely,Very,Very,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,Quebec,AUG
Not at all,Not at all,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Very,Not at all,Not at all,Female,Disagree,No impact,Ontario,AUG
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Female,Strongly disagree,No impact,Quebec,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Nova Scotia,AUG
Very,Very,Extremely,Very,Very,Very,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,Ontario,AUG
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,Ontario,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,No impact,Alberta,AUG
Very,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Too soon to tell,Quebec,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Agree,Minor impact,Ontario,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Moderate impact,Ontario,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,Manitoba,AUG
Very,Very,Very,Very,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,No impact,Quebec,AUG
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,AUG
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Very,Somewhat,Very,Not at all,Not at all,Female,Agree,Minor impact,Quebec,AUG
Not at all,Not at all,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Disagree,Too soon to tell,Ontario,AUG
Somewhat,Very,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Not at all,Not at all,Extremely,Not at all,Female,Disagree,No impact,Ontario,AUG
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Female,Not working at a job or business,No impact,Quebec,AUG
Somewhat,Very,Extremely,Very,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly agree,Moderate impact,Ontario,AUG
Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Male,Strongly agree,Too soon to tell,British Columbia,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,British Columbia,AUG
Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Disagree,Moderate impact,Quebec,AUG
Very,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,New Brunswick,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,Ontario,AUG
Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Somewhat,Extremely,Not at all,Male,Strongly agree,Major impact,Ontario,AUG
Very,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,Quebec,AUG
